date,trend_furugi_sweater,trend_furugi_down,trend_furugi_ma1,trend_levis,trend_y2k_fashion
2020-12-27,69,61,0,50,0
2021-01-03,57,51,0,51,0
2021-01-10,0,42,0,56,0
2021-01-17,45,44,0,78,0
2021-01-24,0,31,0,80,0
2021-01-31,41,26,0,59,0
2021-02-07,40,34,0,64,0
2021-02-14,0,30,0,57,0
2021-02-21,0,17,0,56,0
2021-02-28,0,15,0,53,0
2021-03-07,0,19,0,56,0
2021-03-14,0,0,0,51,0
2021-03-21,0,0,0,47,0
2021-03-28,0,0,0,46,0
2021-04-04,0,17,0,52,0
2021-04-11,0,0,0,50,0
2021-04-18,0,24,0,52,0
2021-04-25,41,21,0,46,0
2021-05-02,0,26,0,60,0
2021-05-09,0,0,0,48,0
2021-05-16,0,0,0,52,0
2021-05-23,0,0,0,48,0
2021-05-30,0,16,0,46,0
2021-06-06,0,0,0,48,0
2021-06-13,0,16,0,46,0
2021-06-20,0,0,0,44,0
2021-06-27,0,0,0,46,0
2021-07-04,0,18,0,41,0
2021-07-11,0,0,0,42,0
2021-07-18,0,0,0,39,0
2021-07-25,0,0,0,36,0
2021-08-01,0,0,0,42,0
2021-08-08,0,0,0,48,0
2021-08-15,0,0,0,42,0
2021-08-22,0,0,0,50,0
2021-08-29,0,15,0,52,0
2021-09-05,0,29,0,52,0
2021-09-12,39,0,0,57,0
2021-09-19,0,24,0,59,5
2021-09-26,0,26,0,44,0
2021-10-03,0,17,0,53,0
2021-10-10,66,0,0,51,0
2021-10-17,58,48,0,56,0
2021-10-24,59,40,0,60,0
2021-10-31,73,25,0,52,0
2021-11-07,90,48,0,41,5
2021-11-14,51,43,0,55,0
2021-11-21,56,36,0,49,0
2021-11-28,84,81,0,56,5
2021-12-05,80,74,0,59,5
2021-12-12,83,64,0,53,7
2021-12-19,72,80,0,48,0
2021-12-26,100,81,0,64,6
2022-01-02,62,76,0,72,12
2022-01-09,43,65,0,63,8
2022-01-16,49,46,0,51,6
2022-01-23,47,36,0,46,6
2022-01-30,39,48,0,53,52
2022-02-06,59,50,0,49,17
2022-02-13,40,40,0,55,13
2022-02-20,42,29,0,65,21
2022-02-27,0,29,0,53,10
2022-03-06,0,26,0,62,10
2022-03-13,0,22,0,60,37
2022-03-20,0,0,0,59,10
2022-03-27,32,13,0,58,14
2022-04-03,0,20,0,63,29
2022-04-10,0,14,0,62,16
2022-04-17,0,11,0,53,24
2022-04-24,0,10,0,65,32
2022-05-01,0,16,0,67,24
2022-05-08,0,0,0,55,29
2022-05-15,0,15,0,49,28
2022-05-22,0,0,0,45,36
2022-05-29,0,14,0,50,34
2022-06-05,0,0,0,45,31
2022-06-12,0,0,0,49,24
2022-06-19,0,0,0,44,32
2022-06-26,0,0,0,48,56
2022-07-03,0,16,0,43,54
2022-07-10,0,12,0,44,20
2022-07-17,0,11,0,37,52
2022-07-24,0,0,0,47,25
2022-07-31,0,0,0,46,27
2022-08-07,0,0,0,46,24
2022-08-14,0,14,0,52,27
2022-08-21,0,12,0,56,100
2022-08-28,37,13,0,54,32
2022-09-04,39,21,0,54,46
2022-09-11,33,23,0,52,27
2022-09-18,56,24,0,57,27
2022-09-25,0,31,0,56,26
