date,gt_古着
2021-06-16,33.0
2021-06-17,36.0
2021-06-18,39.0
2021-06-19,45.0
2021-06-20,51.0
2021-06-21,35.0
2021-06-22,34.0
2021-06-23,32.0
2021-06-24,36.0
2021-06-25,36.0
2021-06-26,48.0
2021-06-27,45.0
2021-06-28,36.0
2021-06-29,37.0
2021-06-30,33.0
2021-07-01,33.0
2021-07-02,33.0
2021-07-03,42.0
2021-07-04,44.0
2021-07-05,37.0
2021-07-06,33.0
2021-07-07,34.0
2021-07-08,31.0
2021-07-09,36.0
2021-07-10,44.0
2021-07-11,44.0
2021-07-12,33.0
2021-07-13,34.0
2021-07-14,33.0
2021-07-15,34.0
2021-07-16,34.0
2021-07-17,43.0
2021-07-18,45.0
2021-07-19,34.0
2021-07-20,30.0
2021-07-21,37.0
2021-07-22,47.0
2021-07-23,49.0
2021-07-24,44.0
2021-07-25,42.0
2021-07-26,35.0
2021-07-27,33.0
2021-07-28,34.0
2021-07-29,33.0
2021-07-30,34.0
2021-07-31,39.0
2021-08-01,44.0
2021-08-02,38.0
2021-08-03,32.0
2021-08-04,34.0
2021-08-05,36.0
2021-08-06,36.0
2021-08-07,43.0
2021-08-08,45.0
2021-08-09,41.0
2021-08-10,40.0
2021-08-11,41.0
2021-08-12,41.0
2021-08-13,43.0
2021-08-14,44.0
2021-08-15,43.0
2021-08-16,37.0
2021-08-17,39.0
2021-08-18,37.0
2021-08-19,36.0
2021-08-20,40.0
2021-08-21,39.0
2021-08-22,43.0
2021-08-23,37.0
2021-08-24,43.0
2021-08-25,39.0
2021-08-26,34.0
2021-08-27,39.0
2021-08-28,43.0
2021-08-29,48.0
2021-08-30,51.0
2021-08-31,39.0
2021-09-01,39.0
2021-09-02,45.0
2021-09-03,45.0
2021-09-04,61.0
2021-09-05,62.0
2021-09-06,47.0
2021-09-07,53.0
2021-09-08,50.0
2021-09-09,51.0
2021-09-10,48.0
2021-09-11,64.0
2021-09-12,66.0
2021-09-13,48.0
2021-09-14,49.0
2021-09-15,48.0
2021-09-16,47.0
2021-09-17,45.0
2021-09-18,63.0
2021-09-19,69.0
2021-09-20,68.0
2021-09-21,49.0
2021-09-22,47.0
2021-09-23,61.0
2021-09-24,49.0
2021-09-25,70.0
2021-09-26,70.0
2021-09-27,48.0
2021-09-28,50.0
2021-09-29,49.0
2021-09-30,41.0
2021-10-01,45.0
2021-10-02,64.0
2021-10-03,65.0
2021-10-04,46.0
2021-10-05,47.0
2021-10-06,45.0
2021-10-07,47.0
2021-10-08,50.0
2021-10-09,65.0
2021-10-10,63.0
2021-10-11,49.0
2021-10-12,46.0
2021-10-13,46.0
2021-10-14,45.0
2021-10-15,48.0
2021-10-16,67.0
2021-10-17,72.0
2021-10-18,52.0
2021-10-19,51.0
2021-10-20,52.0
2021-10-21,52.0
2021-10-22,61.0
2021-10-23,73.0
2021-10-24,78.0
2021-10-25,53.0
2021-10-26,54.0
2021-10-27,49.0
2021-10-28,49.0
2021-10-29,54.0
2021-10-30,69.0
2021-10-31,66.0
2021-11-01,50.0
2021-11-02,54.0
2021-11-03,65.0
2021-11-04,50.0
2021-11-05,51.0
2021-11-06,67.0
2021-11-07,71.0
2021-11-08,50.0
2021-11-09,48.0
2021-11-10,51.0
2021-11-11,47.0
2021-11-12,50.0
2021-11-13,72.0
2021-11-14,73.0
2021-11-15,52.0
2021-11-16,45.0
2021-11-17,50.0
2021-11-18,50.0
2021-11-19,53.0
2021-11-20,66.0
2021-11-21,67.0
2021-11-22,58.0
2021-11-23,71.0
2021-11-24,53.0
2021-11-25,53.0
2021-11-26,49.0
2021-11-27,66.0
2021-11-28,73.0
2021-11-29,50.0
2021-11-30,43.0
2021-12-01,50.0
2021-12-02,46.0
2021-12-03,48.0
2021-12-04,66.0
2021-12-05,68.0
2021-12-06,54.0
2021-12-07,48.0
2021-12-08,50.0
2021-12-09,47.0
2021-12-10,51.0
2021-12-11,68.0
2021-12-12,66.0
2021-12-13,50.0
2021-12-14,44.0
2021-12-15,46.0
2021-12-16,46.0
2021-12-17,100.0
2021-12-18,75.0
2021-12-19,69.0
2021-12-20,49.0
2021-12-21,50.0
2021-12-22,51.0
2021-12-23,45.0
2021-12-24,53.0
2021-12-25,94.0
2021-12-26,72.0
2021-12-27,52.0
2021-12-28,54.0
2021-12-29,72.0
2021-12-30,73.0
2021-12-31,52.0
2022-01-01,70.0
2022-01-02,94.0
2022-01-03,82.0
2022-01-04,74.0
2022-01-05,57.0
2022-01-06,48.0
2022-01-07,50.0
2022-01-08,67.0
2022-01-09,68.0
2022-01-10,61.0
2022-01-11,47.0
2022-01-12,51.0
2022-01-13,50.0
2022-01-14,47.0
2022-01-15,60.0
2022-01-16,64.0
2022-01-17,42.0
2022-01-18,46.0
2022-01-19,42.0
2022-01-20,41.0
2022-01-21,43.0
2022-01-22,62.0
2022-01-23,63.0
2022-01-24,51.0
2022-01-25,44.0
2022-01-26,42.0
2022-01-27,42.0
2022-01-28,47.0
2022-01-29,60.0
2022-01-30,58.0
2022-01-31,47.0
2022-02-01,43.0
2022-02-02,46.0
2022-02-03,42.0
2022-02-04,46.0
2022-02-05,60.0
2022-02-06,62.0
2022-02-07,46.0
2022-02-08,48.0
2022-02-09,43.0
2022-02-10,41.0
2022-02-11,52.0
2022-02-12,61.0
2022-02-13,56.0
2022-02-14,46.0
2022-02-15,48.0
2022-02-16,51.0
2022-02-17,49.0
2022-02-18,51.0
2022-02-19,55.0
2022-02-20,63.0
2022-02-21,52.0
2022-02-22,51.0
2022-02-23,57.0
2022-02-24,48.0
2022-02-25,47.0
2022-02-26,59.0
2022-02-27,76.0
2022-02-28,48.0
2022-03-01,45.0
2022-03-02,45.0
2022-03-03,47.0
2022-03-04,52.0
2022-03-05,58.0
2022-03-06,65.0
2022-03-07,52.0
2022-03-08,50.0
2022-03-09,48.0
2022-03-10,48.0
2022-03-11,50.0
2022-03-12,67.7
2022-03-13,68.56
2022-03-14,55.71
2022-03-15,53.13
2022-03-16,50.56
2022-03-17,55.71
2022-03-18,48.85
2022-03-19,65.99
2022-03-20,68.56
2022-03-21,65.13
2022-03-22,47.99
2022-03-23,50.56
2022-03-24,48.85
2022-03-25,48.85
2022-03-26,56.56
2022-03-27,62.56
2022-03-28,50.56
2022-03-29,49.71
2022-03-30,57.42
2022-03-31,50.56
2022-04-01,53.13
2022-04-02,66.85
2022-04-03,64.28
2022-04-04,46.28
2022-04-05,48.85
2022-04-06,47.99
2022-04-07,47.99
2022-04-08,49.71
2022-04-09,71.13
2022-04-10,65.99
2022-04-11,47.14
2022-04-12,43.71
2022-04-13,41.99
2022-04-14,41.14
2022-04-15,46.28
2022-04-16,67.7
2022-04-17,64.28
2022-04-18,46.28
2022-04-19,51.42
2022-04-20,47.14
2022-04-21,43.71
2022-04-22,48.85
2022-04-23,65.99
2022-04-24,61.7
2022-04-25,47.14
2022-04-26,42.85
2022-04-27,44.56
2022-04-28,47.14
2022-04-29,62.56
2022-04-30,77.99
2022-05-01,73.7
2022-05-02,68.56
2022-05-03,84.84
2022-05-04,84.84
2022-05-05,69.42
2022-05-06,53.13
2022-05-07,65.13
2022-05-08,62.56
2022-05-09,42.85
2022-05-10,42.85
2022-05-11,41.99
2022-05-12,35.99
2022-05-13,41.14
2022-05-14,53.99
2022-05-15,59.13
2022-05-16,38.57
2022-05-17,45.42
2022-05-18,40.28
2022-05-19,40.28
2022-05-20,39.42
2022-05-21,53.13
2022-05-22,68.56
2022-05-23,50.56
2022-05-24,47.14
2022-05-25,45.42
2022-05-26,45.42
2022-05-27,37.71
2022-05-28,59.99
2022-05-29,65.99
2022-05-30,44.56
2022-05-31,40.28
2022-06-01,47.14
2022-06-02,38.57
2022-06-03,41.14
2022-06-04,56.56
2022-06-05,57.42
2022-06-06,36.85
2022-06-07,37.71
2022-06-08,35.99
2022-06-09,38.57
2022-06-10,36.85
2022-06-11,55.71
2022-06-12,59.99
2022-06-13,42.85
2022-06-14,35.99
2022-06-15,34.28
2022-06-16,39.42
2022-06-17,40.28
2022-06-18,54.85
2022-06-19,53.13
2022-06-20,36.85
2022-06-21,32.57
2022-06-22,34.28
2022-06-23,37.71
2022-06-24,39.42
2022-06-25,51.42
2022-06-26,53.13
2022-06-27,38.57
2022-06-28,39.42
2022-06-29,35.99
2022-06-30,32.57
2022-07-01,37.71
2022-07-02,45.42
2022-07-03,47.99
2022-07-04,36.85
2022-07-05,35.14
2022-07-06,35.14
2022-07-07,35.14
2022-07-08,31.71
2022-07-09,47.14
2022-07-10,48.85
2022-07-11,35.99
2022-07-12,35.99
2022-07-13,34.28
2022-07-14,32.57
2022-07-15,35.14
2022-07-16,46.28
2022-07-17,54.85
2022-07-18,48.85
2022-07-19,33.42
2022-07-20,32.57
2022-07-21,35.14
2022-07-22,38.57
2022-07-23,44.56
2022-07-24,50.56
2022-07-25,34.28
2022-07-26,34.28
2022-07-27,35.99
2022-07-28,34.28
2022-07-29,38.57
2022-07-30,47.99
2022-07-31,47.99
2022-08-01,37.71
2022-08-02,37.71
2022-08-03,36.85
2022-08-04,36.85
2022-08-05,36.85
2022-08-06,49.71
2022-08-07,52.28
2022-08-08,40.28
2022-08-09,38.57
2022-08-10,42.85
2022-08-11,49.71
2022-08-12,47.99
2022-08-13,49.71
2022-08-14,54.85
2022-08-15,51.42
2022-08-16,47.14
2022-08-17,42.85
2022-08-18,39.42
2022-08-19,40.28
2022-08-20,47.14
2022-08-21,49.71
2022-08-22,38.57
2022-08-23,44.56
2022-08-24,40.28
2022-08-25,43.71
2022-08-26,39.42
2022-08-27,50.56
2022-08-28,52.28
2022-08-29,44.56
2022-08-30,38.57
2022-08-31,36.85
2022-09-01,38.57
2022-09-02,39.42
2022-09-03,57.42
2022-09-04,53.99
2022-09-05,42.85
2022-09-06,41.99
2022-09-07,38.57
2022-09-08,43.71
2022-09-09,42.85
2022-09-10,53.99
2022-09-11,56.56
2022-09-12,47.14
2022-09-13,42.85
2022-09-14,43.71
2022-09-15,41.14
2022-09-16,43.71
2022-09-17,53.99
2022-09-18,55.71
2022-09-19,48.85
2022-09-20,49.71
2022-09-21,50.56
2022-09-22,53.13
2022-09-23,65.99
2022-09-24,67.7
2022-09-25,66.85
2022-09-26,50.56
2022-09-27,45.42
2022-09-28,47.99
2022-09-29,48.85
2022-09-30,46.28
2022-10-01,63.42
2022-10-02,70.28
2022-10-03,47.14
2022-10-04,45.42
2022-10-05,52.28
2022-10-06,52.28
2022-10-07,53.99
2022-10-08,75.42
2022-10-09,85.7
2022-10-10,71.99
2022-10-11,49.71
2022-10-12,50.56
2022-10-13,51.42
2022-10-14,51.42
2022-10-15,69.42
2022-10-16,69.42
2022-10-17,51.42
2022-10-18,50.56
2022-10-19,48.85
2022-10-20,47.99
2022-10-21,52.28
2022-10-22,75.42
2022-10-23,69.42
2022-10-24,49.71
2022-10-25,54.85
2022-10-26,53.99
2022-10-27,53.99
2022-10-28,53.13
2022-10-29,67.7
2022-10-30,68.56
2022-10-31,47.99
2022-11-01,53.13
2022-11-02,50.56
2022-11-03,71.99
2022-11-04,53.13
2022-11-05,65.99
2022-11-06,71.99
2022-11-07,48.85
2022-11-08,47.14
2022-11-09,48.85
2022-11-10,53.13
2022-11-11,50.56
2022-11-12,63.42
2022-11-13,65.13
2022-11-14,48.85
2022-11-15,47.14
2022-11-16,48.85
2022-11-17,47.99
2022-11-18,48.85
2022-11-19,65.99
2022-11-20,65.13
2022-11-21,48.85
2022-11-22,49.71
2022-11-23,53.13
2022-11-24,42.85
2022-11-25,45.42
2022-11-26,55.71
2022-11-27,55.71
2022-11-28,38.6
2022-11-29,39.4
2022-11-30,42.62
2022-12-01,42.62
2022-12-02,40.21
2022-12-03,59.51
2022-12-04,61.12
2022-12-05,38.6
2022-12-06,39.4
2022-12-07,45.03
2022-12-08,44.23
2022-12-09,51.47
2022-12-10,61.92
2022-12-11,64.33
2022-12-12,49.05
2022-12-13,46.64
2022-12-14,45.84
2022-12-15,47.45
2022-12-16,47.45
2022-12-17,61.12
2022-12-18,64.33
2022-12-19,46.64
2022-12-20,46.64
2022-12-21,47.45
2022-12-22,43.43
2022-12-23,40.21
2022-12-24,57.1
2022-12-25,62.73
2022-12-26,50.66
2022-12-27,53.88
2022-12-28,57.9
2022-12-29,67.55
2022-12-30,65.94
2022-12-31,49.86
2023-01-01,59.51
2023-01-02,80.42
2023-01-03,73.98
2023-01-04,60.31
2023-01-05,53.08
2023-01-06,51.47
2023-01-07,60.31
2023-01-08,61.92
2023-01-09,57.1
2023-01-10,46.64
2023-01-11,49.86
2023-01-12,45.84
2023-01-13,48.25
2023-01-14,60.31
2023-01-15,61.12
2023-01-16,46.64
2023-01-17,45.84
2023-01-18,45.84
2023-01-19,47.45
2023-01-20,46.64
2023-01-21,60.31
2023-01-22,63.53
2023-01-23,44.23
2023-01-24,41.82
2023-01-25,44.23
2023-01-26,46.64
2023-01-27,47.45
2023-01-28,60.31
2023-01-29,59.51
2023-01-30,48.25
2023-01-31,43.43
2023-02-01,49.05
2023-02-02,48.25
2023-02-03,46.64
2023-02-04,60.31
2023-02-05,67.55
2023-02-06,49.05
2023-02-07,48.25
2023-02-08,47.45
2023-02-09,48.25
2023-02-10,48.25
2023-02-11,61.92
2023-02-12,62.73
2023-02-13,48.25
2023-02-14,49.86
2023-02-15,47.45
2023-02-16,51.47
2023-02-17,49.05
2023-02-18,59.51
2023-02-19,61.12
2023-02-20,49.05
2023-02-21,48.25
2023-02-22,50.66
2023-02-23,61.12
2023-02-24,54.68
2023-02-25,68.36
2023-02-26,65.94
2023-02-27,47.45
2023-02-28,44.23
2023-03-01,47.45
2023-03-02,46.64
2023-03-03,49.86
2023-03-04,59.51
2023-03-05,65.14
2023-03-06,49.05
2023-03-07,49.86
2023-03-08,49.86
2023-03-09,49.05
2023-03-10,47.45
2023-03-11,65.14
2023-03-12,63.53
2023-03-13,53.88
2023-03-14,52.27
2023-03-15,47.45
2023-03-16,48.25
2023-03-17,48.25
2023-03-18,62.73
2023-03-19,69.96
2023-03-20,57.1
2023-03-21,55.49
2023-03-22,46.64
2023-03-23,49.05
2023-03-24,49.05
2023-03-25,61.92
2023-03-26,65.14
2023-03-27,53.88
2023-03-28,49.86
2023-03-29,49.86
2023-03-30,51.47
2023-03-31,47.45
2023-04-01,65.94
2023-04-02,65.94
2023-04-03,65.94
2023-04-04,50.66
2023-04-05,47.45
2023-04-06,44.23
2023-04-07,45.03
2023-04-08,61.12
2023-04-09,61.92
2023-04-10,48.25
2023-04-11,45.84
2023-04-12,49.05
2023-04-13,43.43
2023-04-14,45.03
2023-04-15,54.68
2023-04-16,66.75
2023-04-17,46.64
2023-04-18,42.62
2023-04-19,45.84
2023-04-20,49.05
2023-04-21,50.66
2023-04-22,65.14
2023-04-23,67.55
2023-04-24,39.4
2023-04-25,44.23
2023-04-26,43.43
2023-04-27,45.84
2023-04-28,47.45
2023-04-29,64.33
2023-04-30,64.33
2023-05-01,55.49
2023-05-02,59.51
2023-05-03,73.98
2023-05-04,78.81
2023-05-05,69.16
2023-05-06,65.14
2023-05-07,53.88
2023-05-08,39.4
2023-05-09,38.6
2023-05-10,44.23
2023-05-11,36.19
2023-05-12,41.01
2023-05-13,49.86
2023-05-14,50.66
2023-05-15,41.82
2023-05-16,46.64
2023-05-17,44.23
2023-05-18,37.8
2023-05-19,38.6
2023-05-20,55.49
2023-05-21,53.08
2023-05-22,37.8
2023-05-23,41.01
2023-05-24,41.82
2023-05-25,37.8
2023-05-26,42.62
2023-05-27,58.71
2023-05-28,57.1
2023-05-29,36.19
2023-05-30,37.8
2023-05-31,41.82
2023-06-01,35.38
2023-06-02,35.38
2023-06-03,54.68
2023-06-04,56.29
2023-06-05,36.19
2023-06-06,36.19
2023-06-07,36.99
2023-06-08,33.78
2023-06-09,40.21
2023-06-10,54.68
2023-06-11,53.88
2023-06-12,40.21
2023-06-13,36.19
2023-06-14,37.8
2023-06-15,36.19
2023-06-16,41.01
2023-06-17,53.08
2023-06-18,55.49
2023-06-19,41.01
2023-06-20,41.82
2023-06-21,37.8
2023-06-22,36.19
2023-06-23,43.43
2023-06-24,53.08
2023-06-25,54.68
2023-06-26,41.01
2023-06-27,36.19
2023-06-28,40.21
2023-06-29,35.38
2023-06-30,32.97
2023-07-01,49.05
2023-07-02,58.71
2023-07-03,36.19
2023-07-04,40.21
2023-07-05,40.21
2023-07-06,36.19
2023-07-07,39.4
2023-07-08,53.08
2023-07-09,52.27
2023-07-10,32.97
2023-07-11,35.38
2023-07-12,30.56
2023-07-13,33.78
2023-07-14,34.58
2023-07-15,53.08
2023-07-16,50.66
2023-07-17,41.01
2023-07-18,32.97
2023-07-19,34.58
2023-07-20,33.78
2023-07-21,36.19
2023-07-22,44.23
2023-07-23,48.25
2023-07-24,35.38
2023-07-25,34.58
2023-07-26,35.38
2023-07-27,34.58
2023-07-28,35.38
2023-07-29,45.03
2023-07-30,45.03
2023-07-31,36.19
2023-08-01,37.8
2023-08-02,39.4
2023-08-03,36.99
2023-08-04,37.8
2023-08-05,44.23
2023-08-06,51.47
2023-08-07,39.4
2023-08-08,35.38
2023-08-09,37.8
2023-08-10,40.21
2023-08-11,53.08
2023-08-12,52.27
2023-08-13,52.27
2023-08-14,45.03
2023-08-15,47.45
2023-08-16,48.25
2023-08-17,40.21
2023-08-18,41.47
2023-08-19,48.38
2023-08-20,48.38
2023-08-21,39.93
2023-08-22,38.4
2023-08-23,38.4
2023-08-24,36.86
2023-08-25,39.16
2023-08-26,50.68
2023-08-27,51.45
2023-08-28,36.09
2023-08-29,38.4
2023-08-30,39.93
2023-08-31,35.32
2023-09-01,41.47
2023-09-02,48.38
2023-09-03,52.22
2023-09-04,39.93
2023-09-05,39.93
2023-09-06,37.63
2023-09-07,38.4
2023-09-08,37.63
2023-09-09,52.99
2023-09-10,55.29
2023-09-11,39.93
2023-09-12,39.16
2023-09-13,39.16
2023-09-14,40.7
2023-09-15,39.93
2023-09-16,56.06
2023-09-17,59.9
2023-09-18,57.59
2023-09-19,43.0
2023-09-20,39.93
2023-09-21,39.93
2023-09-22,39.93
2023-09-23,63.74
2023-09-24,60.67
2023-09-25,43.0
2023-09-26,41.47
2023-09-27,43.0
2023-09-28,42.24
2023-09-29,40.7
2023-09-30,56.06
2023-10-01,55.29
2023-10-02,43.0
2023-10-03,47.61
2023-10-04,48.38
2023-10-05,49.92
2023-10-06,49.15
2023-10-07,66.04
2023-10-08,73.72
2023-10-09,67.58
2023-10-10,49.15
2023-10-11,52.22
2023-10-12,51.45
2023-10-13,57.59
2023-10-14,66.81
2023-10-15,72.19
2023-10-16,50.68
2023-10-17,47.61
2023-10-18,48.38
2023-10-19,46.84
2023-10-20,49.92
2023-10-21,61.43
2023-10-22,72.19
2023-10-23,43.77
2023-10-24,49.15
2023-10-25,42.24
2023-10-26,40.7
2023-10-27,48.38
2023-10-28,66.04
2023-10-29,66.81
2023-10-30,49.15
2023-10-31,42.24
2023-11-01,49.15
2023-11-02,48.38
2023-11-03,69.11
2023-11-04,63.74
2023-11-05,63.74
2023-11-06,46.84
2023-11-07,42.24
2023-11-08,43.0
2023-11-09,50.68
2023-11-10,49.15
2023-11-11,60.67
2023-11-12,61.43
2023-11-13,52.99
2023-11-14,44.54
2023-11-15,45.31
2023-11-16,42.24
2023-11-17,47.61
2023-11-18,68.35
2023-11-19,69.11
2023-11-20,49.92
2023-11-21,47.61
2023-11-22,47.61
2023-11-23,59.9
2023-11-24,51.45
2023-11-25,60.67
2023-11-26,63.74
2023-11-27,43.77
2023-11-28,47.61
2023-11-29,43.77
2023-11-30,43.77
2023-12-01,42.24
2023-12-02,59.13
2023-12-03,60.67
2023-12-04,42.24
2023-12-05,42.24
2023-12-06,43.0
2023-12-07,43.0
2023-12-08,41.47
2023-12-09,66.04
2023-12-10,62.97
2023-12-11,46.08
2023-12-12,42.24
2023-12-13,46.08
2023-12-14,36.86
2023-12-15,43.77
2023-12-16,62.97
2023-12-17,65.27
2023-12-18,41.47
2023-12-19,39.93
2023-12-20,39.93
2023-12-21,39.93
2023-12-22,39.93
2023-12-23,56.83
2023-12-24,52.99
2023-12-25,45.31
2023-12-26,43.0
2023-12-27,46.08
2023-12-28,49.92
2023-12-29,59.13
2023-12-30,59.9
2023-12-31,43.77
2024-01-01,49.15
2024-01-02,62.2
2024-01-03,62.2
2024-01-04,56.06
2024-01-05,52.99
2024-01-06,59.13
2024-01-07,59.9
2024-01-08,45.31
2024-01-09,38.4
2024-01-10,39.93
2024-01-11,39.16
2024-01-12,41.47
2024-01-13,59.13
2024-01-14,56.83
2024-01-15,42.24
2024-01-16,36.86
2024-01-17,39.16
2024-01-18,37.63
2024-01-19,38.4
2024-01-20,52.99
2024-01-21,52.99
2024-01-22,44.54
2024-01-23,38.4
2024-01-24,38.4
2024-01-25,38.4
2024-01-26,40.7
2024-01-27,62.97
2024-01-28,58.36
2024-01-29,43.0
2024-01-30,40.7
2024-01-31,38.4
2024-02-01,39.93
2024-02-02,42.24
2024-02-03,58.36
2024-02-04,61.43
2024-02-05,39.16
2024-02-06,39.16
2024-02-07,42.24
2024-02-08,45.31
2024-02-09,43.77
2024-02-10,60.67
2024-02-11,68.35
2024-02-12,52.99
2024-02-13,42.24
2024-02-14,40.7
2024-02-15,43.77
2024-02-16,42.24
2024-02-17,59.13
2024-02-18,58.36
2024-02-19,40.7
2024-02-20,43.77
2024-02-21,39.16
2024-02-22,43.0
2024-02-23,57.59
2024-02-24,62.2
2024-02-25,57.59
2024-02-26,43.77
2024-02-27,43.0
2024-02-28,41.47
2024-02-29,39.16
2024-03-01,40.7
2024-03-02,53.75
2024-03-03,59.13
2024-03-04,42.24
2024-03-05,40.7
2024-03-06,44.54
2024-03-07,45.31
2024-03-08,42.24
2024-03-09,61.43
2024-03-10,64.51
2024-03-11,43.77
2024-03-12,39.93
2024-03-13,43.0
2024-03-14,40.7
2024-03-15,38.4
2024-03-16,59.13
2024-03-17,59.13
2024-03-18,44.54
2024-03-19,46.84
2024-03-20,55.29
2024-03-21,42.24
2024-03-22,43.77
2024-03-23,52.99
2024-03-24,59.13
2024-03-25,40.7
2024-03-26,45.31
2024-03-27,45.31
2024-03-28,46.08
2024-03-29,46.08
2024-03-30,59.13
2024-03-31,61.43
2024-04-01,43.77
2024-04-02,46.84
2024-04-03,36.86
2024-04-04,41.47
2024-04-05,46.84
2024-04-06,57.59
2024-04-07,64.51
2024-04-08,43.77
2024-04-09,36.86
2024-04-10,40.7
2024-04-11,47.61
2024-04-12,49.15
2024-04-13,66.04
2024-04-14,69.88
2024-04-15,47.61
2024-04-16,46.08
2024-04-17,44.54
2024-04-18,37.63
2024-04-19,46.08
2024-04-20,66.04
2024-04-21,69.11
2024-04-22,42.24
2024-04-23,43.0
2024-04-24,43.0
2024-04-25,43.0
2024-04-26,43.77
2024-04-27,65.27
2024-04-28,76.02
2024-04-29,71.42
2024-04-30,47.61
2024-05-01,46.84
