注文日,商品名,請求金額,合計金額,個数,送料合計,ポイント利用額,クーポン利用総額,季節ラベル,ブランド名
2024-04-26,美品【中古】ピエールカルダン pierre cardin お洒落ジャケット 表記Mサイズ(9号相当) 茶色/ブラウン 麻リネン混 ロゴ釦 春夏向け アウター レディース,23171,25600,1,0,429.0,2000,春夏,ピエールカルダン
2024-04-26,美品【中古】ポールスミス Poul Smith テーラードジャケット ジャケット 表記 38号 9号 M 相当 濃紺系 シフォン 総透け感 長袖 薄手 単品 シンプル 無地 とろみ感 通勤 オフィス お出掛け 大人 40代 50代 日本製 春 夏 アウター レディース クリーニング後お渡し,23171,25600,1,0,429.0,2000,春夏,ポールスミス
2024-04-26,新品同様【中古】ホコモモラ Jocomomola 緑 涼感 素敵ブラウス トップス 42号/11号 春夏 レディース,9800,10800,1,0,0.0,1000,春夏,ホコモモラ
2024-04-27,美品【中古】組曲 KUMIKYOKU ワンピース 異素材ワンピース 大きいサイズ 表記 5号 13号 XL 42号 2L 相当 古着 ベージュ レディース 春 夏 春夏 レース 長袖 異素材 きれいめ 膝丈 ひざ丈 ノーカラー 大人 女性 20代 30代 おしゃれ フォーマル お出掛け,21900,21900,1,0,0.0,0,春夏,組曲
2024-05-02,美品【中古】ミラオーウェン mila owen タイトスカート ニットスカート スカート レディース 表記 F フリー 9号 11号 M L 相当 古着 緑 カーキ ニット素材 シンプル 無地 膝丈 ひざ丈 ふっくら お洒落 おしゃれ 大人 女性 春 秋 春秋 ボトムス 30代 40代 50代,6300,16300,1,0,10000.0,0,春秋,ミラオーウェン
2024-05-03,美品【中古】バーバリー Burberrys 大人テーラードジャケット 表記9号(38号/M相当) 濃紺/ネイビー 毛/ウール100% 薄手 半袖 シンプル 春夏向け アウター レディース,29800,29800,1,0,0.0,0,春夏,バーバリー
2024-05-14,新品【中古】センスオブプレイス SENSE OF PLACE フレアスカート マキシ丈スカート スカート レディース 表記 One Size 9号 11号 相当 紺 ネイビー 幾何学模様 レース 伸縮性 マキシ丈 エレガント 上品 大人 女性 オフィス 春 秋 春秋 ボトムス 20代 30代,9000,9000,1,0,0.0,0,春秋,センスオブプレイス
2024-05-15,美品【中古】ローラアシュレイ LAURA ASHLEY 素敵なワンピース 表記LAEGE(11号相当) 茶/ブラウン モダン美柄 お出掛け 春秋向け レディース,18555,24300,1,0,3745.0,2000,春秋,ローラアシュレイ
2024-05-15,新品同様【中古】エリータハリ ELIE TAHARI ノーカラージャケット ジャケット 表記 2号 9号 Ｍ 38号 相当 古着 黒 ブラック レディース 春 秋 アウター 毛 ウール ストレッチ シンプル ノーカラー 通勤 お出掛け 大人 女性 20代 30代 40代,13000,14000,1,0,0.0,1000,春秋,エリータハリ
2024-05-15,美品【中古】リフレクト Reflect 美形テーラードジャケット 表記9号(小さいサイズS&#12316;細めM相当) グレー 圧縮ウール 毛100%素材 秋冬向け アウター レディース,13200,14200,1,0,0.0,1000,秋冬,リフレクト
2024-05-16,美品【中古】アニエスベー agnes b ノーカラージャケット ウールジャケット ジャケット フランス製 レディース 表記 3号 11号 相当 古着 ライトグレー グレー 毛 ウール 薄手 シンプル 無地 上品 大人 オフィス 秋 冬 秋冬 アウター 30代 40代 50代,13800,19000,1,0,4200.0,1000,秋冬,アニエスベー
2024-05-17,美品【中古】東京イギン TOKYO IGIN ブラックフォーマル ワンピーススーツ 表記 11号 L 40号 相当 古着 黒 レディース セットアップ 2点セット 春 夏 秋 冬 オールシーズン 冠婚葬祭 喪服 長袖 7分袖 七分袖 大人 女性 40代 50代,26000,26000,1,0,0.0,0,通年,東京イギン
2024-05-22,美品【中古】拉薩1104 詩仙堂 タイトワンピース 膝丈ワンピース ワンピース 高級ちりめん素材 レディース 大きい 11号 13号 L LL 相当 黒 ブラック ペイズリー柄 デザイン切り替え 膝丈 ひざ丈 ミモレ丈 上品 大人 女性 お出掛け 春 秋 春秋 40代 50代 60代,22000,22000,1,0,0.0,0,春秋,拉薩1104
2024-05-23,美品【中古】ヤッコマリカルド YACCO MARICARD コットンブラウス 長袖ブラウス ブラウス レディース 表記 0号 11号 L 40号 相当 オフ白 オフホワイト 綿 コットン ピンタック スタンドカラー 軽やか 涼しげ お洒落 おしゃれ お出掛け 春 秋 春秋 トップス 40代 50代 60代,21500,21500,1,0,0.0,0,春秋,ヤッコマリカルド
2024-05-26,美品【中古】ヤッコマリカルド YACCO MARICARD コットンブラウス ブラウス レディース 表記 2号 9号 M 相当 青紫 ブルー パープル 綿 コットン 無地 ピンタック 七分袖 薄手 軽やか 涼しげ お洒落 おしゃれ 上品 大人 女性 春夏 春 夏 トップス 40代 50代 60代,19500,21500,1,0,0.0,2000,春夏,ヤッコマリカルド
2024-06-04,美品【中古】SOIR BENIR 東京ソワール ブラックフォーマルワンピース 表記13号(9号〜11号相当) 黒/ブラック 美花柄レース 冠婚葬祭 喪服 春秋 レディース,9000,10000,1,0,0.0,1000,春秋,SOIR
2024-06-04,美品【中古】バーバリー BURBERRY お洒落な美形ハーフパンツ 表記38号(9号相当) 黒 バーバリーチェック柄 お出掛け 春夏向け ボトムス レディース,6131,7599,1,0,968.0,500,春夏,バーバリー
2024-06-04,新品同様【中古】レリアン Leilian 黒ブラック 伸縮×チュール×透け感 美柄カットソー 9号 トップス 春夏 レディース,4693,5500,1,0,807.0,0,春夏,レリアン
2024-06-04,美品【中古】アニエスベー agnes b ジップアップジャケット 薄手ジャケット ジャケット レディース 表記 38号 9号 M 相当 黒 ブラック シンプル 無地 フリル 薄手 長袖 おしゃれ 軽やか 上品 大人 女性 お出掛け 春 夏 秋 春夏秋 アウター 20代 30代,3405,8000,1,0,4595.0,0,春夏,アニエスベー
