,OrderTime,Brand,TotalPrice,Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High
1901,2021-06-16 00:00:00,東京ソワール,27720,0,0,0,0,1,0
1900,2021-06-20 00:00:00,インディヴィ,20000,0,0,0,1,0,0
1899,2021-06-22 00:00:00,23区,18000,0,0,1,0,0,0
1898,2021-06-24 00:00:00,クリスチャンオジャール,7200,0,1,0,0,0,0
1897,2021-07-02 00:00:00,斉藤都世子,39500,0,0,0,0,0,1
1896,2021-07-07 00:00:00,イッセイミヤケ,19800,0,0,0,0,1,0
1895,2021-07-07 00:00:00,シャミーヴィ,11500,0,0,1,0,0,0
1894,2021-07-09 00:00:00,アリスバーリー,10400,0,0,0,1,0,0
1893,2021-07-10 00:00:00,ジルサンダー,38000,0,0,0,0,0,1
1892,2021-07-19 00:00:00,ユキトリイ,26200,0,0,0,0,1,0
1891,2021-07-20 00:00:00,伊太利屋,16800,0,0,0,1,0,0
1890,2021-07-24 00:00:00,ユキトリイ,33000,0,0,0,0,1,0
1889,2021-07-29 00:00:00,マックスマーラ,15800,0,0,0,1,0,0
1888,2021-07-31 00:00:00,クレージュ,9950,0,0,1,0,0,0
1887,2021-08-05 00:00:00,ミスクロエ,12000,0,0,1,0,0,0
1886,2021-08-10 00:00:00,レリアン,78100,0,0,0,0,0,1
1885,2021-08-10 00:00:00,レリアン,78100,0,0,0,0,0,1
1884,2021-08-14 00:00:00,アクサラ,7420,0,1,0,0,0,0
1883,2021-08-15 00:00:00,セオリー,14500,0,0,0,0,1,0
1882,2021-08-17 00:00:00,オッドオンジャパン,8300,0,1,0,0,0,0
1881,2021-08-17 00:00:00,マックス&コー,17600,0,0,0,1,0,0
1880,2021-08-17 00:00:00,詩仙堂,18700,0,0,0,1,0,0
1878,2021-08-18 00:00:00,ヒロコビス,11000,0,0,1,0,0,0
1879,2021-08-18 00:00:00,東京ソワール,18700,0,0,0,0,1,0
1877,2021-08-20 00:00:00,ラピーヌ,20680,0,0,0,0,1,0
1876,2021-08-20 00:00:00,ピエールカルダン,11000,0,0,0,1,0,0
1875,2021-08-23 00:00:00,ノーブランド,12100,0,1,0,0,0,0
1874,2021-08-24 00:00:00,ドゥスール,8300,0,1,0,0,0,0
1873,2021-08-27 00:00:00,オリバーヴァレンティノ,9400,0,1,0,0,0,0
1872,2021-09-04 00:00:00,ヴァレンティノガラヴァーニ,12000,0,0,1,0,0,0
1871,2021-09-04 00:00:00,ナラカミーチェ,4300,0,1,0,0,0,0
1870,2021-09-04 00:00:00,マダムハナイ,9790,0,0,0,1,0,0
1869,2021-09-04 00:00:00,斉藤都世子,44450,0,0,0,0,0,1
1868,2021-09-04 00:00:00,斉藤都世子,44450,0,0,0,0,0,1
1867,2021-09-04 00:00:00,斉藤都世子,44450,0,0,0,0,0,1
1866,2021-09-04 00:00:00,ホワイトイタリヤード,4450,0,1,0,0,0,0
1860,2021-09-05 00:00:00,レリアン,8700,0,0,0,0,0,1
1861,2021-09-05 00:00:00,バーバリーブルーレーベル,11500,0,0,0,1,0,0
1863,2021-09-05 00:00:00,レリアン,8100,0,0,0,0,0,1
1864,2021-09-05 00:00:00,ちぐさボーベル,14500,0,0,0,0,1,0
1865,2021-09-05 00:00:00,バーバリー,37500,0,0,0,0,0,1
1862,2021-09-05 00:00:00,MIC センソユニコ,9000,0,1,0,0,0,0
1850,2021-09-06 00:00:00,エルメス,133550,0,0,0,0,0,1
1859,2021-09-06 00:00:00,トゥービーシック,11250,0,0,0,0,1,0
1858,2021-09-06 00:00:00,セオリー,133550,0,0,0,0,1,0
1857,2021-09-06 00:00:00,イヴサンローラン,133550,0,0,0,0,0,1
1856,2021-09-06 00:00:00,インディヴィ,15650,0,0,0,1,0,0
1855,2021-09-06 00:00:00,ジバンシー,133550,0,0,0,0,0,1
