platform,start_date,sale_name,period,category
楽天市場,2021-03-04,楽天スーパーSALE,2021-03-04 20:00 – 2021-03-11 01:59,全商品
楽天市場,2021-06-04,楽天スーパーSALE,2021-06-04 20:00 – 2021-06-11 02:00,全商品
楽天市場,2021-09-04,楽天スーパーSALE,2021-09-04 20:00 – 2021-09-11 01:59,全商品
楽天市場,2021-11-18,楽天ブラックフライデー,2021-11-18 20:00 – 2021-11-23 01:59,全商品
楽天市場,2021-12-19,楽天大感謝祭,2021-12-19 20:00 – 2021-12-26 01:59,全商品
楽天市場,2022-03-04,楽天スーパーSALE,2022-03-04 20:00 – 2022-03-11 01:59,全商品
楽天市場,2022-06-04,楽天スーパーSALE,2022-06-04 20:00 – 2022-06-11 01:59,全商品
楽天市場,2022-09-04,楽天スーパーSALE,2022-09-04 20:00 – 2022-09-11 01:59,全商品
楽天市場,2022-11-22,楽天ブラックフライデー,2022-11-22 20:00 – 2022-11-27 01:59,全商品
楽天市場,2022-12-19,楽天大感謝祭,2022-12-19 20:00 – 2022-12-26 01:59,全商品
楽天市場,2023-03-04,楽天スーパーSALE,2023-03-04 20:00 – 2023-03-11 01:59,全商品
楽天市場,2023-06-04,楽天スーパーSALE,2023-06-04 20:00 – 2023-06-11 01:59,全商品
楽天市場,2023-09-04,楽天スーパーSALE,2023-09-04 20:00 – 2023-09-11 01:59,全商品
楽天市場,2023-11-22,楽天ブラックフライデー,2023-11-21 20:00 – 2023-11-27 01:59,全商品
楽天市場,2023-12-19,楽天大感謝祭,2023-12-19 20:00 – 2023-12-26 01:59,全商品
楽天市場,2024-03-04,楽天スーパーSALE,2024-03-04 20:00 – 2024-03-11 01:59,全商品
楽天市場,2024-06-04,楽天スーパーSALE,2024-06-04 20:00 – 2024-06-11 01:59,全商品
楽天市場,2024-09-04,楽天スーパーSALE,2024-09-04 20:00 – 2024-09-11 01:59,全商品
楽天市場,2024-11-22,楽天ブラックフライデー,2024-11-21 20:00 – 2024-11-27 01:59,全商品
楽天市場,2024-12-19,楽天大感謝祭,2024-12-19 20:00 – 2024-12-26 01:59,全商品 
楽天市場,2025-03-04,楽天スーパーSALE,2025-03-04 20:00 – 2025-03-11 01:59,全商品
Yahoo!ショッピング,2021-03-01,超PayPay祭(春),2021-03-01 09:00 – 2021-03-28 23:59,全商品
Yahoo!ショッピング,2021-10-18,超PayPay祭(秋),2021-10-18 00:00 – 2021-11-28 23:59,全商品
Yahoo!ショッピング,2021-11-11,いい買い物の日,2021-11-01 – 2021-11-11,全商品
ヤフオク!,2021-01-25,競りはじめ大抽選会,2021-01-25 12:00 – 2021-01-31 23:59,全カテゴリ
ヤフオク!,2021-08-01,夏の出品大抽選会,2021-08-01 12:00 – 2021-08-22 23:59,全カテゴリ
ヤフオク!,2021-12-20,大そうじ抽選会,2021-12-20 12:00 – 2022-01-05 23:59,全カテゴリ
ヤフオク!,2022-02-03,ヤフオク!出品大抽選会,2022-02-03 12:00 – 2022-03-27 23:59,全カテゴリ
ヤフオク!,2022-11-27,超PayPay祭（出品キャンペーン）,2022-11-27 00:00 – 2022-12-18 23:59,全カテゴリ
ヤフオク!,2022-11-28,超PayPay祭（落札キャンペーン）,2022-11-28 00:00 – 2022-12-18 23:59,全カテゴリ
ヤフオク!,2022-12-20,大そうじ抽選会,2022-12-20 00:00 – 2023-01-05 23:59,全カテゴリ
ヤフオク!,2023-01-15,売りドキ!キャンペーン（例）,2023-01-15 00:00 – 2023-02-15 23:59,特定カテゴリ
ヤフオク!,2023-11-25,超PayPay祭（連動企画）,2023-11-25 00:00 – 2023-12-17 23:59,全カテゴリ
ヤフオク!,2023-12-20,大そうじ抽選会,2023-12-20 00:00 – 2024-01-05 23:59,全カテゴリ
ヤフオク!,2024-02-01,月次出品キャンペーン（2月）,2024-02-01 00:00 – 2024-02-29 23:59,カテゴリ限定
ヤフオク!,2024-11-23,超PayPay祭（連動企画）,2024-11-23 00:00 – 2024-12-15 23:59,全カテゴリ
ヤフオク!,2024-12-20,大そうじ抽選会,2024-12-20 00:00 – 2025-01-05 23:59,全カテゴリ
ヤフオク!,2025-01-10,出品キャンペーンスケジュール,2025-01-10 00:00 – 2025-03-31 23:59,カテゴリ限定
ヤフオク!,2025-11-22,超PayPay祭（連動企画・予想）,2025-11-22 00:00 – 2025-12-14 23:59,全カテゴリ
ヤフオク!,2025-12-20,大そうじ抽選会（予想）,2025-12-20 00:00 – 2026-01-05 23:59,全カテゴリ

