OrderTime,Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,HolidayFlag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,AverageTemperature,Total Precipitation(mm)
2021-06-16,0,0,1,27720,1,0,0,0,0,0,0,0,0,1,0,0,0,22.8,30.5
2021-06-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.9,3.5
2021-06-18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.1,0.0
2021-06-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,22.0,12.0
2021-06-20,1,0,0,20000,1,0,0,0,0,0,1,0,0,0,1,1,0,22.8,14.5
2021-06-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,22.9,0.0
2021-06-22,0,0,1,18000,1,0,0,0,0,0,0,0,1,0,0,1,0,23.1,0.0
2021-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,22.0,1.5
2021-06-24,0,0,1,7200,1,0,0,0,0,0,0,1,0,0,0,1,1,22.8,0.0
2021-06-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,23.3,19.0
2021-06-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,24.2,0.0
2021-06-27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,23.7,0.0
2021-06-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24.4,0.0
2021-06-29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,21.9,53.0
2021-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.6,3.0
2021-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.9,64.5
2021-07-02,1,0,0,39500,1,0,500,1,0,0,0,0,0,0,0,0,0,21.2,68.0
2021-07-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,22.2,53.5
2021-07-04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,20.1,17.5
2021-07-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,22.1,2.5
2021-07-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,24.7,0.5
2021-07-07,1,0,1,31300,2,0,0,0,0,0,0,0,0,1,0,1,1,25.8,0.5
2021-07-08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,23.7,7.5
2021-07-09,0,0,1,10400,1,0,0,1,0,0,0,0,0,0,0,1,1,23.5,9.0
2021-07-10,1,0,0,38000,1,0,11400,0,0,1,0,0,0,0,1,1,1,27.0,4.5
2021-07-11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,24.7,17.5
2021-07-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.8,0.0
2021-07-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25.5,0.0
2021-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,25.3,0.0
2021-07-15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26.4,0.0
2021-07-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27.7,0.0
2021-07-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,27.4,0.0
2021-07-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.1,0.0
2021-07-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29.2,0.0
2021-07-20,0,0,1,16800,1,0,1000,0,0,0,0,0,1,0,0,0,1,28.8,0.0
2021-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.4,0.0
2021-07-22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,28.4,0.0
2021-07-23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,28.4,0.0
2021-07-24,0,1,0,33000,1,0,2000,0,0,1,0,0,0,0,1,1,1,28.5,0.0
2021-07-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,28.5,0.0
2021-07-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,27.5,0.0
2021-07-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24.9,34.5
2021-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,27.7,0.0
2021-07-29,0,0,1,15800,1,0,0,0,0,0,0,1,0,0,0,1,0,27.8,0.0
2021-07-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.8,30.0
2021-07-31,0,0,1,9350,1,600,0,0,0,1,0,0,0,0,1,1,0,27.5,0.0
2021-08-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.7,0.0
2021-08-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,28.6,0.5
2021-08-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.0,3.0
2021-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.5,0.0
2021-08-05,0,0,1,12000,1,0,1000,0,0,0,0,1,0,0,0,1,1,29.1,0.0
2021-08-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,29.1,0.0
2021-08-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,27.9,2.0
2021-08-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,25.9,90.5
2021-08-09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,28.1,2.0
2021-08-10,1,1,0,78100,2,0,46860,0,0,0,0,0,1,0,0,0,1,31.0,0.0
2021-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,29.2,0.0
2021-08-12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26.0,0.5
2021-08-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22.5,20.5
2021-08-14,0,0,1,6820,1,600,0,0,0,1,0,0,0,0,1,1,0,22.3,77.0
2021-08-15,1,0,0,14500,1,0,0,0,0,0,1,0,0,0,1,1,0,19.3,138.5
2021-08-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20.7,2.0
2021-08-17,0,1,2,44000,3,600,100,0,0,0,0,0,1,0,0,1,0,23.7,23.5
2021-08-18,0,0,2,29700,2,0,500,0,0,0,0,0,0,1,0,1,0,27.0,3.0
2021-08-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,28.5,0.0
2021-08-20,0,1,1,31680,2,0,0,1,0,0,0,0,0,0,0,0,0,28.7,0.0
2021-08-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,27.9,0.0
2021-08-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.5,0.0
2021-08-23,0,0,1,12100,1,0,0,0,1,0,0,0,0,0,0,1,0,26.9,2.5
2021-08-24,0,0,1,7700,1,600,0,0,0,0,0,0,1,0,0,1,0,27.5,0.0
2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,29.4,0.0
2021-08-26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.5,0.0
2021-08-27,1,0,0,8800,1,600,0,1,0,0,0,0,0,0,0,1,0,30.0,0.0
2021-08-28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,29.8,0.0
2021-08-29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.5,0.0
2021-08-30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29.2,0.0
2021-08-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.9,17.0
2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.7,3.0
2021-09-02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.4,18.5
2021-09-03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.7,17.0
2021-09-04,3,2,2,74990,7,0,1000,0,0,1,0,0,0,0,1,1,0,20.6,14.0
2021-09-05,4,1,1,89300,6,0,21527,0,0,0,1,0,0,0,1,1,1,21.0,10.0
2021-09-06,3,1,6,120700,10,0,534200,0,1,0,0,0,0,0,0,1,1,19.9,8.5
2021-09-07,2,1,1,89250,4,0,18500,0,0,0,0,0,1,0,0,1,1,20.4,0.0
2021-09-08,0,1,0,31400,1,0,15700,0,0,0,0,0,0,1,0,1,1,20.3,0.5
2021-09-09,0,1,0,4100,1,0,200,0,0,0,0,1,0,0,0,1,1,20.5,14.0
2021-09-10,11,4,2,280000,17,0,402527,1,0,0,0,0,0,0,0,0,1,24.8,0.0
2021-09-11,1,0,0,62400,1,0,31200,0,0,1,0,0,0,0,1,1,1,25.0,0.0
2021-09-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,24.4,0.0
2021-09-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.2,0.0
2021-09-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,22.8,5.5
2021-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22.9,1.5
2021-09-16,2,0,0,45100,2,0,2530,0,0,0,0,1,0,0,0,1,0,22.3,0.0
2021-09-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22.3,0.0
2021-09-18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,23.7,124.5
2021-09-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,23.9,0.0
2021-09-20,1,0,0,28400,1,0,11076,0,1,0,0,0,0,0,1,1,1,22.4,0.0
2021-09-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22.7,0.0
2021-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,24.9,1.0
2021-09-23,0,0,1,36800,1,0,14352,0,0,0,0,1,0,0,1,1,1,26.6,0.0
2021-09-24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,25.4,0.0
2021-09-25,0,0,1,17000,1,0,0,0,0,1,0,0,0,0,1,1,0,22.1,0.0
2021-09-26,1,0,0,19000,1,0,0,0,0,0,1,0,0,0,1,1,0,19.9,0.0
2021-09-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20.1,0.0
2021-09-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,21.1,0.0
2021-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21.9,0.0
