Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,Holiday_Flag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,Average_Temperature,Maximum Temperature,Minimum Temperature,Total Precipitation (mm),Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High,Category_Outer,Category_Suit,Category_Tops,Category_Bottoms,Category_Dress,Category_Accessory
0,0,1,27720,1,0,0,0,0,0,0,0,0,1,0,0,0,22.8,24.9,20.6,30.5,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.9,26.7,18.9,3.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.1,27.4,18.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,22.0,23.1,19.2,12.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,20000,1,0,0,0,0,0,1,0,0,0,1,1,0,22.8,28.6,19.5,14.5,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,22.9,27.9,19.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,18000,1,0,0,0,0,0,0,0,1,0,0,1,0,23.1,28.6,19.1,0.0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,22.0,25.6,20.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,7200,1,0,0,0,0,0,0,1,0,0,0,1,1,22.8,27.2,19.1,0.0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,23.3,27.5,20.7,19.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,24.2,28.4,20.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,23.7,26.7,21.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24.4,29.6,20.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,21.9,28.4,18.8,53.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.6,23.1,18.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.9,22.9,20.1,64.5,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,39500,1,0,500,1,0,0,0,0,0,0,0,0,0,21.2,22.2,20.3,68.0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,22.2,25.8,20.5,53.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,20.1,21.1,19.3,17.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,22.1,25.1,19.9,2.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,24.7,29.6,22.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,31300,2,0,0,0,0,0,0,0,0,1,0,1,1,25.8,30.0,22.9,0.5,0,0,1,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,23.7,24.8,22.3,7.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,10400,1,0,0,1,0,0,0,0,0,0,0,1,1,23.5,24.9,22.2,9.0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,38000,1,0,11400,0,0,1,0,0,0,0,1,1,1,27.0,33.4,22.7,4.5,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,24.7,31.8,21.2,17.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.8,31.6,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25.5,29.0,23.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,25.3,28.8,22.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26.4,31.1,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27.7,33.2,24.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,27.4,32.6,23.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.1,33.2,23.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29.2,34.7,25.1,0.0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,16800,1,0,1000,0,0,0,0,0,1,0,0,0,1,28.8,34.0,25.6,0.0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.4,33.6,24.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,28.4,34.2,24.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,28.4,34.0,24.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,33000,1,0,2000,0,0,1,0,0,0,0,1,1,1,28.5,34.4,25.3,0.0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,28.5,34.4,24.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,27.5,32.1,24.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24.9,29.8,21.3,34.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,27.7,32.0,23.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,15800,1,0,0,0,0,0,0,1,0,0,0,1,0,27.8,32.1,24.3,0.0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.8,30.5,23.9,30.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,9350,1,600,0,0,0,1,0,0,0,0,1,1,0,27.5,32.5,23.3,0.0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,28.7,33.7,24.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,28.6,33.1,25.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.0,32.9,25.7,3.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.5,34.5,25.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
