OrderTime,TotalPrice,TotalMallCouponDiscount,ShipCharge,Brand_English,Brand_Japanese,Holiday,brand_avg_sales,price_tier,Tier_Extremely High,Tier_High,Tier_Low,Tier_Medium,Tier_Very High,Tier_Very Low,Season_春夏,Season_春秋,Season_秋冬,Category_Accessory,Category_Bottoms,Category_Dress,Category_Other,Category_Outer,Category_Suit,Category_Tops,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),rakuten_sale_name,yahoo_sale_name
2021-06-16,27720,0.0,0,TOKYO SOIR,東京ソワール,0,21574.64406779661,Extremely High,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22.2,24.9,20.6,30.5,0.0,雨時々曇、雷を伴う,曇一時雨,,
2021-06-20,20000,0.0,0,INDIVI,インディヴィ,0,15133.045454545454,Very High,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22.8,28.6,19.5,14.5,1.0,曇一時雨,曇,,
2021-06-22,18000,0.0,0,NIJYUSANKU,23区,0,12000.307692307691,High,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23.1,28.6,19.1,0.0,3.2,曇,曇,,
2021-06-24,7200,0.0,0,CHRISTIAN AUJARD,クリスチャンオジャール,0,8294.0,Medium,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22.8,27.2,19.1,0.0,3.3,曇後一時晴,曇,,
2021-07-02,39500,500.0,0,Toyoko Saito,斉藤都世子,0,28779.75,Extremely High,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21.2,22.2,20.3,68.0,0.0,大雨,大雨,,
2021-07-07,11500,0.0,0,Chamois V,シャミーヴィ,0,14893.333333333334,High,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.8,30.0,22.9,0.5,1.9,曇一時雨,曇,,
2021-07-07,19800,0.0,0,ISSEY MIYAKE,イッセイミヤケ,0,32955.625,Extremely High,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25.8,30.0,22.9,0.5,1.9,曇一時雨,曇,,
2021-07-09,10400,0.0,0,Aylesbury,アリスバーリー,0,15746.0,Very High,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,23.5,24.9,22.2,9.0,0.0,雨時々曇,曇時々雨,,
2021-07-10,38000,11400.0,0,JIL SANDER,ジルサンダー,0,85775.0,Extremely High,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27.0,33.4,22.7,4.5,9.0,晴時々曇,曇一時雨、雷を伴う,,
2021-07-19,26200,7860.0,0,YUKI TORII,ユキトリイ,0,24143.423076923078,Extremely High,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29.2,34.7,25.1,0.0,11.0,晴,晴後曇,,
2021-07-20,16800,1000.0,0,Itariya,伊太利屋,0,15773.719298245614,Very High,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28.8,34.0,25.6,0.0,9.8,晴後薄曇,薄曇後晴,,
