OrderTime,TotalPrice,TotalMallCouponDiscount,ShipCharge,brand_avg_sales,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),rakuten_sale_name,yahoo_sale_name,rakuten_sale_flag,yahoo_sale_flag
2021-06-16,27720.0,0.0,0.0,21574.64406779661,22.2,24.9,20.6,30.5,0.0,雨時々曇、雷を伴う,曇一時雨,,,0,0
2021-06-17,0.0,0.0,0.0,0.0,21.8,26.7,18.9,3.5,4.8,曇時々晴一時雨,曇時々晴,,,0,0
2021-06-18,0.0,0.0,0.0,0.0,22.8,27.4,18.5,0.0,7.9,薄曇一時晴,雨時々曇,,,0,0
2021-06-19,0.0,0.0,0.0,0.0,20.3,23.1,19.2,12.0,0.0,雨一時曇,雨,,,0,0
2021-06-20,20000.0,0.0,0.0,15133.045454545454,22.8,28.6,19.5,14.5,1.0,曇一時雨,曇,,,0,0
2021-06-21,0.0,0.0,0.0,0.0,22.9,27.9,19.6,0.0,5.3,曇後晴,晴一時曇,,,0,0
2021-06-22,18000.0,0.0,0.0,12000.307692307691,23.1,28.6,19.1,0.0,3.2,曇,曇,,,0,0
2021-06-23,0.0,0.0,0.0,0.0,22.0,25.6,20.6,1.5,0.1,曇時々雨,曇一時晴,,,0,0
2021-06-24,7200.0,0.0,0.0,8294.0,22.8,27.2,19.1,0.0,3.3,曇後一時晴,曇,,,0,0
2021-06-25,0.0,0.0,0.0,0.0,23.3,27.5,20.7,19.0,3.9,曇時々雨一時晴,曇,,,0,0
2021-06-26,0.0,0.0,0.0,0.0,24.2,28.4,20.5,0.0,4.0,薄曇,曇,,,0,0
2021-06-27,0.0,0.0,0.0,0.0,23.7,26.7,21.6,0.0,0.8,曇,曇後晴,,,0,0
2021-06-28,0.0,0.0,0.0,0.0,24.4,29.6,20.1,0.0,7.8,晴後薄曇,雨一時曇,,,0,0
2021-06-29,0.0,0.0,0.0,0.0,21.9,28.4,18.8,53.0,1.5,曇時々雨,大雨後時々曇,,,0,0
2021-06-30,0.0,0.0,0.0,0.0,20.6,23.1,18.4,3.0,0.0,曇時々雨,雨時々曇,,,0,0
2021-07-01,0.0,0.0,0.0,0.0,20.9,22.9,20.1,64.5,0.0,大雨時々曇,雨,,,0,0
2021-07-02,39500.0,500.0,0.0,28779.75,21.2,22.2,20.3,68.0,0.0,大雨,大雨,,,0,0
2021-07-03,0.0,0.0,0.0,0.0,22.2,25.8,20.5,53.5,0.3,雨後曇,曇後雨,,,0,0
2021-07-04,0.0,0.0,0.0,0.0,20.1,21.1,19.3,17.5,0.0,雨,雨後時々曇一時霧雨、霧を伴う,,,0,0
2021-07-05,0.0,0.0,0.0,0.0,22.1,25.1,19.9,2.5,0.6,曇時々雨,曇,,,0,0
2021-07-06,0.0,0.0,0.0,0.0,24.7,29.6,22.0,0.5,0.2,曇時々雨,雨時々曇,,,0,0
2021-07-07,31300.0,0.0,0.0,47848.958333333336,25.8,30.0,22.9,0.5,1.9,曇一時雨,曇,,,0,0
