order_time,season_spring_summer,season_spring_autumn,season_autumn_winter,mall_coupon_discount,ship_charge,precip_mm,sunshine_h,temp_avg_c,total_price,holiday_count,sale_days_rakuten,sale_days_yahoo,cat_accessory_ratio,cat_bottoms_ratio,cat_dress_ratio,cat_other_ratio,cat_outer_ratio,cat_suit_ratio,cat_tops_ratio,tier_extremely_high_ratio,tier_high_ratio,tier_low_ratio,tier_medium_ratio,tier_very_high_ratio,tier_very_low_ratio,week_sin,week_cos,google_trend_古着,google_trend_ラルフローレン,google_trend_バーバリー
2021-06-20,1.0,0.0,1.0,0,0,12.1,2.7,22.0,9544,0.0,0,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.23931566428755768,-0.970941817426052,51.0,31.0,15.0
2021-06-27,2.0,0.0,0.0,0,0,2.9,2.9,23.1,3600,0.0,4,7,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.12053668025532308,-0.992708874098054,48.0,34.0,17.0
2021-07-04,0.0,0.0,1.0,500,0,37.1,1.4,21.6,5643,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.216245299353273e-16,-1.0,51.0,33.0,18.0
2021-07-11,2.0,0.0,2.0,11400,0,6.0,2.1,24.5,11386,0.0,7,7,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.5,0.25,0.0,0.0,0.25,0.0,-0.12053668025532283,-0.992708874098054,49.0,33.0,15.0
2021-07-18,0.0,0.0,0.0,0,0,0.0,6.6,26.6,0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23931566428755743,-0.9709418174260521,54.0,34.0,16.0
2021-07-25,2.0,1.0,0.0,10860,0,0.0,9.9,28.6,10857,0.0,6,5,0.0,0.333,0.333,0.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0.333,0.0,-0.3546048870425356,-0.9350162426854148,47.0,28.0,15.0
2021-08-01,2.0,0.0,0.0,0,600,9.2,6.0,27.1,3679,0.0,1,6,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,-0.46472317204376806,-0.8854560256532101,49.0,27.0,15.0
2021-08-08,1.0,0.0,0.0,1000,0,13.7,7.1,28.4,1714,0.0,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5680647467311556,-0.8229838658936565,56.0,30.0,17.0
2021-08-15,1.0,1.0,2.0,46860,600,34.1,3.2,25.5,25446,0.0,3,6,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,-0.663122658240795,-0.7485107481711013,51.0,27.0,19.0
2021-08-22,5.0,2.0,0.0,600,600,4.1,5.5,26.4,15140,0.0,0,6,0.0,0.429,0.286,0.0,0.143,0.0,0.143,0.143,0.143,0.0,0.143,0.571,0.0,-0.7485107481711011,-0.6631226582407952,51.0,28.0,18.0
2021-08-29,2.0,0.0,1.0,0,1200,0.4,5.8,28.9,4257,0.0,0,7,0.0,0.333,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,-0.8229838658936564,-0.5680647467311559,67.0,31.0,20.0
2021-09-05,3.0,2.0,8.0,22527,0,11.4,1.7,22.5,36170,0.0,1,3,0.0,0.154,0.077,0.0,0.308,0.0,0.462,0.692,0.077,0.077,0.077,0.077,0.0,-0.8854560256532096,-0.4647231720437691,78.0,33.0,20.0
2021-09-12,12.0,7.0,15.0,1107075,0,3.3,2.1,22.2,332200,0.0,6,6,0.059,0.206,0.206,0.0,0.412,0.0,0.118,0.676,0.059,0.0,0.0,0.265,0.0,-0.9350162426854147,-0.3546048870425359,72.0,34.0,21.0
